area,price,title
72平米,80,首付20万买带鱼洞指标的正两房，大阳台，大飘窗，视野完全不遮挡
85平米,93,蔡家 单价一万 首付二十多万 毗邻别墅的小高层 还不下手吗
高层,110,首付20万 巴国城双山旁精装正规三房，拎包入住，读
高层,58,急售！汉渝路 正规电梯小两房 户型方正 三峡广场
高层,162,三期交房标准未住人，视线开阔，照母山精装3房2卫
中层,130,婚房 婚房 没有住过人 门口轻轨站哦 急售急售！！！
高层,123,巴国城商圈看公园精装房 户型方正 住家舒适 出门公交站
76.77平米,138,巴国城品质洋房小区，精装三室两卫，66大顺，居家好环境！读
99.31平米,193,江北嘴新鸥鹏城二期 3室1厅 东南 就读于巴川量子 全指标
中层,83,实木家具！天都精装大两房 首付只需18万 带树人指标 随时看房
90平米,125.9,（真实价格）首付26万买照母山精装三房，全中庭，宜居
高层,98,喜欢跃层观湖的看过来 翠云轻轨站旁精装跃层两房 一线观湖 急售
84平米,110,龙湖旁 越昕晖洋房品质 双学府 精装 三房两卫拎包入住
低层,130,看过来！近轻轨，带森林指标，龙景苑精装修三房两卫现诚心出售啦
低层,52,客运中心云中馨苑旁电梯房 正三室 9.9成新 南北朝向 惊喜房源
85平米,105.8,首付30万起丶高庙村轻轨站旁丶100米万达广场丶支持三无
中层,71,小家也有大天地 毗邻地铁 出门永辉 坐拥茶园核心
高层,95,渝北鸳鸯瑞骏景园 精装两房 拎包入住 双轻轨 读育才 95万
高层,290,可做屋顶花园，现房近轻轨商圈，横厅板式花园洋房，照母山约克郡
124.7平米,159,首付28万 朝南看小区中庭 出门地铁站 近万达品质大楼盘
中层,88,全中庭公园鲁能泰山七号，小户两房户型楼层好总价低随时看房
低层,120,住家装修 三房双卫 商圈江景房 户型正 大开间 视野
210平米,295,龙湖听蓝湾二期中户别墅，业主急卖，中庭位置，带树人
低层,77,大学城 宝嘉精装两房 近树人方便孩子读书 近轻轨方便出行 近商业
低层,84,石坪桥正街 保利爱尚里旁 精装3房 户型方正交通方便
88平米,115,万达广场旁，旭辉精装三房双卫，就读巴渝，业主诚心出售
85平米,90,大学城，恒大旁，品质小区，协信三房，全新装修，可
47平米,54,轻轨站旁住家一室首付12万拎包入住住宅性质通水电气带指标
105平米,105,大学城 金科廊桥水乡 精装三房双卫 读树人 朝西南 园林式小区
中层,140,渝中区朝天门来福士广场旁跃层江景房轻轨旁带空中花园支持三无
高层,64.2,首付24万买龙洲湾轻轨站旁 精装三房 拎包入住 户型方正
低层,280,老品牌金辉集团 首付只需一层即可拥有 看江横厅大平层
中层,170,——龙湖天街旁清水大平层——全中庭大四房带保姆间——
63.3平米,130,财信渝中城，正规两房，业主急卖130万，清水房，采光好，低价卖
高层,98,"渝北区回兴,宝圣湖旁水木清华小小岛精装看湖三房,视野辽阔"
中层,300,2，嘉州商圈 新光天地旁 汇景台 精装跃层洋房 带40平米露台
低层,109,江北北滨路住家精装小三房 视野好 温馨舒适 诚心出售！
低层,115,真实价格，融创品质，精装住家三房一卫，拎包入住，来电看房
137平米,183,龙湖U城轻轨旁183万买大三房洋房 位置安静 可读树人 业主急售
